phrase,total_shows,top_shows,top_phrases,dynamics_trend,regions_top
претензия о взыскании неустойки по дду,26,,,,
иск к застройщику,912,912,иски к застройщику:912 | иск к застройщику о взыскании:147 | иск в суд к застройщику:114 | подать иск к застройщику:114 | иск о неустойке к застройщику:89 | иск к застройщику о взыскании неустойки:78 | срок иска к застройщику:69 | иск к застройщику госпошлина:68 | судебные иски к застройщику:65 | иск дольщика к застройщику:64 | подсудность исков к застройщику:41 | иск к застройщику об устранении недостатков:29 | иск к застройщику о неисполнении условий договора:15 | иск к застройщику о передаче квартиры:14 | коллективный иск к застройщику:12 | мораторий на иски к застройщику:12,,
иск о взыскании неустойки с застройщика,77,77,иск о взыскании неустойки с застройщика:77,,
суд с застройщиком,1707,1707,суд с застройщиком:1707 | суды с застройщиком решения:269 | суд по неустойке с застройщиком:233 | взыскание неустойки с застройщика в суде:173 | суды с застройщиками по дду:125 | суд с застройщиком сроки:115 | суд с застройщиком недостатки:107 | суд с застройщиком в каком суде:104 | суд с застройщиком исковое заявление:103 | арбитражный суд с застройщиком:96 | неустойка с застройщика решение суда:80 | суд с застройщиком практика:64 | суды с застройщиками по качеству:46 | суды с застройщиком москва:45 | суд взыскал с застройщика неустойку:44 | выиграть суд с застройщиком:38 | застройщик обратился в суд с иском:37 | суд дольщика с застройщиком:34 | суд с застройщиком по качеству квартиры:30 | суд с застройщиком по отделке:27,,
судебная практика по дду,524,524,судебная практика по дду:524 | судебная практика по неустойке дду:261 | судебная практика по взысканию по дду:181 | взыскание неустойки по дду судебная практика:156 | судебная практика по договору дду:79 | судебная практика по расторжению дду:64 | снижение неустойки по дду судебная практика:7,,
решения судов по дду,230,230,решения судов по дду:230 | решение суда неустойка по дду:120 | решение суда о взыскании неустойки по дду:49 | отсрочка исполнения решения суда по дду:15,,
защита прав дольщиков,759,759,защита прав дольщиков:759 | фонд защиты прав дольщиков:554 | московский фонд защиты прав дольщиков:151 | фонд защиты прав дольщиков области:61 | защита прав обманутых дольщиков:49 | сайт защиты прав дольщиков:41 | сайте фонда защиты прав дольщиков:41 | закон о защите прав дольщиков:39 | фонд защиты прав дольщиков официальный:37 | фонд защиты прав дольщиков официальный сайт:37 | защита прав потребителей дольщики:37 | защита прав дольщиков московской области:30 | фонд защиты прав дольщиков московской области:29 | защита прав дольщиков долевого строительства:27 | закон о защите прав потребителей дольщиков:26 | защита прав дольщика москва:26 | московский фонд защиты прав дольщиков сайт:24 | фонд защиты прав обманутых дольщиков:24 | фонд защиты прав дольщиков хмао:23 | региональные фонды защиты прав дольщиков:23,,
нарушение срока передачи квартиры,557,557,нарушение сроков передачи квартиры:557 | неустойка за нарушение сроков передачи квартиры:283 | нарушение сроков передачи квартиры по дду:122 | претензия застройщику за нарушение сроков передачи квартиры:24 | рассчитать неустойку за нарушение сроков передачи квартиры:11,,
расторжение дду,3030,3030,расторжение дду:3030 | расторжение договора дду:690 | расторжение дду застройщиком:492 | расторжение дду дольщиком:443 | расторжение дду инициативе:326 | одностороннее расторжение дду:315 | расторжение эскроу дду:291 | порядок расторжения дду:268 | расторжение дду по инициативе дольщика:253 | расторжение дду в одностороннем порядке:228 | расторжение дду эскроу счетом:209 | образец расторжения дду:171 | росреестр расторжение дду:166 | соглашение о расторжении дду:153 | расторжение дду по соглашению сторон:146 | расторжение дду 214:144 | уведомление о расторжении дду:140 | фз 214 расторжение дду:135 | регистрация расторжения дду:125 | проценты при расторжении дду:123,,
возврат денег по дду,35,35,возврат денег по дду:35,,
недостатки квартиры по дду,148,148,недостатки квартиры по дду:148,,
акт приема передачи квартиры с недостатками,33,33,акт приема передачи квартиры с недостатками:33,,
устранение недостатков квартиры застройщиком,481,481,устранение недостатков квартиры застройщиком:481 | устранение недостатков квартиры застройщиком сроки:105 | заявление на устранение недостатков в квартире застройщику:27 | срок устранения недостатков застройщиком при приемке квартиры:26 | доступ застройщику для устранения недостатков в квартире:11,,
взыскание расходов на устранение недостатков квартиры,18,,,,
уменьшение цены квартиры по дду,3,,,,
гарантия застройщика на квартиру,251,251,гарантия застройщика на квартиру:251 | сколько гарантия застройщика на квартиру:57 | срок гарантии на квартиру от застройщика:21,,
площадь квартиры меньше дду,48,21,площадь квартиры меньше чем в дду:21,,
доплата за лишние метры по дду,6,,,,
возврат денег за недостающие метры,5,,,,
банкротство застройщика дду,66,66,дду банкротство застройщика:66,,
эскроу дду,2358,2358,дду эскроу:2358 | дду и эскроу счета:394 | расторжение эскроу дду:291 | договор дду с эскроу:222 | расторжение дду эскроу счетом:209 | договор дду с эскроу счетом:185 | дду через эскроу:128 | дду через эскроу счета:92 | дду без эскроу:82 | как расторгнуть договор дду с эскроу:61 | дду без эскроу счета:58 | переуступка дду эскроу:55 | эскроу ожидает регистрации дду:44 | дду с эскроу образец:42 | счет эскроу ожидает регистрации дду:40 | можно ли расторгнуть дду с эскроу:38 | расчеты по эскроу дду:34 | расторжение дду эскроу ипотека:31 | образец дду с эскроу счетом:27 | порядок расторжения дду эскроу:26,,
застройщик не передает квартиру,345,345,застройщик не передает квартиру:345 | застройщик не передает квартиру дольщику:59 | застройщик не передал квартиру в срок:50,,
моральный вред с застройщика,47,47,моральный вред с застройщика:47 | взыскание морального вреда с застройщика:23,,
штраф с застройщика 50 процентов,12,,,,
потребительский штраф с застройщика,3,,,,
