docid,status,dispute_type_code,claim_type_codes,result_type,index_policy,main_site_fit,validation_status,verification_status,note
sei0HpVRwcHH,structured,work_service_delay_art28,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
VEVEnx8fQhW5,structured,service_refusal_art32,contract_recognition;refund_price;moral_damage;penalty;expenses,partially_satisfied,index,True,ok,ok,
zCfOD70dZF1,structured,info_violation_art10_12,refund_price;moral_damage;consumer_fine;expenses,satisfied,index,True,ok,ok,duplicate_in_other_batch
VUbLq3N4mHLg,structured,info_violation_art10_12,refund_price;penalty;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,duplicate_in_other_batch
SW7BQ3oEiqbU,structured,info_violation_art10_12,refund_price;penalty;damages;moral_damage;consumer_fine,rejected,index,True,ok,ok,duplicate_in_other_batch
JFu0uFMkN6QK,structured,info_violation_art10_12,refund_price;penalty;moral_damage;consumer_fine;expenses,mixed,index,True,ok,ok,duplicate_in_other_batch
Z6ECxE1FZGbR,structured,non_consumer_hold,moral_damage;expenses;hold,hold,hold,False,ok,ok,duplicate_in_other_batch
poxiixn4H5dr,structured,work_service_defect_art29,refund_price;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,
qUSClQ9f9n5N,structured,info_violation_art10_12,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,duplicate_in_other_batch
yKzioxtguMYK,structured,info_violation_art10_12,moral_damage;consumer_fine,hold,hold,False,ok,ok,duplicate_in_other_batch
VvdgwtPLLRWO,structured,contract_validity_non_zpp,contract_recognition;moral_damage,hold,hold,False,ok,ok,
lOvgUPRb4KVZ,structured,info_violation_art10_12,moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,duplicate_in_other_batch
F4tgfJ83SDl1,structured,info_violation_art10_12,refund_price;penalty;moral_damage;consumer_fine;damages,satisfied,index,True,ok,ok,duplicate_in_other_batch
QsoUZnTzldHU,structured,service_refusal_art32,hold,hold,hold,False,ok,ok,duplicate_in_other_batch
qING46DO7tmN,structured,contract_validity_non_zpp,refund_price;moral_damage;consumer_fine;contract_recognition,hold,hold,False,ok,ok,duplicate_in_other_batch
P4XHDMeet1NZ,structured,contract_validity_non_zpp,refund_price;moral_damage;consumer_fine,hold,hold,False,ok,ok,duplicate_in_other_batch
6zydJ9jGUgoa,structured,goods_defect_art18,refund_price;repair_or_defect_cure;price_reduction;penalty;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,duplicate_in_other_batch
t2g2Kh4epVJ6,structured,info_violation_art10_12,information_disclosure;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,duplicate_in_other_batch
37i0sRTiFB6Q,structured,non_consumer_hold,hold,hold,hold,False,ok,ok,
lpuLB7g2UNH2,structured,goods_defect_art18,refund_price;penalty;moral_damage;consumer_fine;expenses,partially_satisfied,index,True,ok,ok,duplicate_in_other_batch
1MuNOiJg9Zgs,structured,info_violation_art10_12,refund_price;moral_damage;consumer_fine,rejected,index,True,ok,ok,duplicate_in_other_batch
HZZImaYBl1oQ,structured,contract_validity_non_zpp,refund_price;moral_damage;consumer_fine,hold,hold,False,ok,ok,duplicate_in_other_batch
xH2f1YwFggYm,structured,info_violation_art10_12,refund_price;penalty;moral_damage;consumer_fine;expenses;damages,partially_satisfied,index,True,ok,ok,
iuwDUUEqaxZT,structured,info_violation_art10_12,refund_price;moral_damage;consumer_fine;expenses,rejected,index,True,ok,ok,duplicate_in_other_batch
bC8RZAaMy2lP,structured,info_violation_art10_12,refund_price;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,
hGeBUQ3DtW1C,structured,info_violation_art10_12,refund_price;penalty;moral_damage;consumer_fine,partially_satisfied,index,True,ok,ok,duplicate_in_other_batch
