docid,url,domain,title,passage,query_slug
zoAf2okKzt18,https://sudact.ru/regular/doc/zoAf2okKzt18/,sudact.ru,Решение № 2-5237/2025 2-5237/2025~М-4576/2025... :: СудАкт.ру,"Разрешая настоящий спор, установив юридически значимые для дела обстоятельства, оценив доказательства суд находит исковые требования в части взыскания денежных средств уплаченных по договору об оказании юридических услуг № от ДД.ММ.ГГГГ, обоснованными, в связи с чем, удовлетворяет их в полном объеме и взыскивает с ИП ФИО3 в пользу истца убытки в размере 214 200 рублей.",article6_penalty
vQ7sBA90ldbr,https://sudact.ru/regular/doc/vQ7sBA90ldbr/,sudact.ru,Решение № 2-1090/2025 2-1090/2025~М-568/2025... :: СудАкт.ру,"Частью 5 статьи 7 Федерального закона от 30.12.2004 № 214-ФЗ «Об участии в долевом строительстве многоквартирных домов …» предусмотрено, что гарантийный срок для объекта долевого строительства, за исключением технологического и инженерного оборудования, входящего в состав такого объекта долевого строительства, устанавливается договором и не может составлять менее чем пять лет.",article6_penalty
fdKv7hoPIiNW,https://sudact.ru/regular/doc/fdKv7hoPIiNW/,sudact.ru,Решение № 2-1567/2020 2-1567/2020(2-6638/2019...) :: СудАкт.ру,"Согласно ч. 2 ст. 6 ФЗ № 214-ФЗ в случае нарушения предусмотренного договором срока передачи участнику долевого строительства объекта долевого строительства застройщик уплачивает участнику долевого строительства неустойку (пени) в размере одной трехсотой ставки рефинансирования Центрального банка Российской Федерации, действующей на день исполнения обязательства, от цены договора за каждый день просрочки.",article6_penalty
FHOalgNBmplV,https://sudact.ru/regular/doc/FHOalgNBmplV/,sudact.ru,Решение № 2-11289/2025 2-11289/2025~М-5391/2025... :: СудАкт.ру,"В соответствии со ст. 7 Федерального закона от 30.12.2004 года № 214-ФЗ застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям технических регламентов, проектной документации и градостроительных регламентов, а также иным обязательным требованиям (ч.1).",article6_penalty
b1z2z3JE6kVl,https://sudact.ru/regular/doc/b1z2z3JE6kVl/,sudact.ru,Решение № 2-1066/2025 от 13 января 2026 г. :: СудАкт.ру,,article6_penalty
1atAB9kqrebQ,https://sudact.ru/regular/doc/1atAB9kqrebQ/,sudact.ru,Решение № 2-867/2023 от 7 сентября 2023 г. по делу... :: СудАкт.ру,"Согласно названного расчета, в феврале 2022 г. истец произвел ответчику перерасчет начислений ЖКУ на сумму 6 214 рублей 38 копеек. В расчете задолженности не указано за какие жилищно-коммунальные услуги произведен перерасчет (наименование и объем ЖКУ).",article6_penalty
EWS5Yv62dLUB,https://sudact.ru/regular/doc/EWS5Yv62dLUB/,sudact.ru,Решение № 2-1380/2020 2-1380/2020~М-168/2020... :: СудАкт.ру,Согласно ст. 8 Федерального закона от ДД.ММ.ГГ N 214-ФЗ Передача объекта долевого строительства застройщиком и принятие его участником долевого строительства осуществляются по подписываемым сторонами передаточному акту или иному документу о передаче объекта долевого строительства.,article6_penalty
bcLaiPTgOjJu,https://sudact.ru/regular/doc/bcLaiPTgOjJu/,sudact.ru,Решение № 2-1424/2019 2-1424/2019~М-796/2019... :: СудАкт.ру,"В соответствии с ч. 2 ст. 6 Федерального Закона от 20.12.2004 № 214-ФЗ, в случае нарушения предусмотренного договором срока передачи участнику долевого строительства объекта долевого строительства застройщик уплачивает участнику долевого строительства неустойку (пени) в размере одной трехсотой ставки рефинансирования Центрального банка Российской Федерации, действующей на день исполнения обязательства...",article6_penalty
rkAgSYTNrLLC,https://sudact.ru/regular/doc/rkAgSYTNrLLC/,sudact.ru,Решение № 2-2357/2025 2-2357/2025~М-982/2025... :: СудАкт.ру,"N 214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты РФ». Застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям проектной документации и градостроительных регламентов, а также иным обязательным требованиям.",article7_defects
RpwmOvDCDzVw,https://sudact.ru/regular/doc/RpwmOvDCDzVw/,sudact.ru,Решение № 2-214/2025 2-214/2025(2-2560/2024...) :: СудАкт.ру,Решение № 2-214/2025 2-214/2025(2-2560/2024;)~М-1987/2024 2-2560/2024 М-1987/2024 от 17 марта 2025 г. по делу № 2-214/2025. Заводской районный суд г. Новокузнецка (Кемеровская область) - Гражданское. Дело № 2-214/2025 (Дело № 2-2560/2024).,article7_defects
vx8xdmtSBDZT,https://sudact.ru/regular/doc/vx8xdmtSBDZT/,sudact.ru,Решение № 2-723/2021 2-723/2021~М-250/2021... :: СудАкт.ру,"Особенности исчисления и (или) уплаты налога по отдельным видам доходов устанавливаются ст. 214.3, 214.4, 214.5, 214.6, 214.7, 226.1, 227 и 228 НК РФ. Согласно п. 4 ст. 226 НК РФ налоговые агенты обязаны удержать начисленную сумму налога непосредственно из доходов налогоплательщика при их фактической выплате с учетом особенностей, установленных настоящим пунктом.",article7_defects
4ZA7CTP6Z76l,https://sudact.ru/regular/doc/4ZA7CTP6Z76l/,sudact.ru,Решение № 2-2470/2020 2-2470/2020~М-2273/2020... :: СудАкт.ру,"В нарушение части 5 статьи 8 Федерального закона № 214-ФЗ, акт о несоответствии объекта долевого строительства требованиям, указанным в части 1 статьи 7 Федерального закона № 214-ФЗ застройщиком не составлялся. Об устранении (либо отказе в устранении) недостатков квартиры застройщиком истцу не сообщалось.",article8_acceptance
YCyTtWqInOmK,https://sudact.ru/regular/doc/YCyTtWqInOmK/,sudact.ru,Решение № 2-4174/2023 2-4174/2023~М-2006/2023... :: СудАкт.ру,"В частности, установленная п. 3 ч. 2 ст. 7 Федерального закона № 214-ФЗ норма предоставляет участнику долевого строительства право требовать возмещения своих расходов на устранение недостатков. Согласно материалам дела истец обратился с претензией к ответчику оплатить денежные средства для самостоятельного устранения выявленных недостатков.",article8_acceptance
KxmNz092Sfbw,https://sudact.ru/regular/doc/KxmNz092Sfbw/,sudact.ru,Решение № 2-37/2024 2-37/2024(2-3785/2023...) :: СудАкт.ру,"В соответствии со ст.9 указанного № 214-ФЗ участник долевого строительства в одностороннем порядке вправе отказаться от исполнения договора в случае: неисполнения застройщиком обязательства по передаче объекта долевого строительства в срок, превышающий установленный договором срок передачи такого объекта на два месяца; неисполнения застройщиком обязанностей...",article8_acceptance
5QGQisx4HlZm,https://sudact.ru/regular/doc/5QGQisx4HlZm/,sudact.ru,Решение № 2-214/2025 2-214/2025~М-183/2025... :: СудАкт.ру,Решение № 2-214/2025 2-214/2025~М-183/2025 М-183/2025 от 17 августа 2025 г. по делу № 2-214/2025. Благовещенский районный суд (Алтайский край) - Гражданское. | Решение от 17 августа 2025 г. по делу № 2-214/2025 Решение от 28 июля 2025 г. по делу № 2-214/2025 Решение от 8 июля 2025 г. по делу № 2-214/2025 Решение от 5 июня 2025 г. по делу № 2-214/2025 Решение от 17 марта 2025 г. по делу № 2-214/2025.,article8_acceptance
ZtbkzNXofEly,https://sudact.ru/regular/doc/ZtbkzNXofEly/,sudact.ru,Решение № 2-1155/2020 от 29 июля 2020 г. по делу... :: СудАкт.ру,"Истец воспользовалась правом требования устранения выявленных недостатков и отказался от подписания передаточного акта, что соответствует положениям ч. 5 ст. 8 214-ФЗ, принятие квартиры 30.05.2017г. по акту с указанием недостатков явилось его правом, в связи с чем требование о взыскании неустойки за нарушение срока передачи квартиры правомерно, подлежит удовлетворению.",article8_acceptance
O4XGU9A5Oa61,https://sudact.ru/regular/doc/O4XGU9A5Oa61/,sudact.ru,Решение № 2-6155/2023 2-6155/2023~М-3035/2023... :: СудАкт.ру,"Требования, предъявляемые к качеству объекта долевого строительства, критерии недостатков, признаваемых существенными, а также права участника долевого строительства и требования, которые он может предъявить к застройщику в связи с выявлением ненадлежащего качества объекта долевого строительства, предусмотрены положениями ст. 7 Федерального закона № 214-ФЗ.",article8_acceptance
o1v5BtM046oQ,https://sudact.ru/regular/doc/o1v5BtM046oQ/,sudact.ru,Решение № 2-1015/2020 2-1015/2020~М-502/2020... :: СудАкт.ру,", ФИО10 (214/4000) земельного участкакадастровый номер №, расположенный по адресу: <адрес> площадью 2106,5 кв.м., в следующих границах (согласно плану №2 заключения проведенной по делу экспертизы):по фасаду участка (<адрес>) – 0,25 + 3,64 + 1,87 + 20,93 + 0,43 м.;по левой реестровой границе участка – 12,78 + 13,32 + 4",article8_acceptance
mJ8TjG4OypYx,https://sudact.ru/regular/doc/mJ8TjG4OypYx/,sudact.ru,Решение № 2-10568/2019 2-1105/2020 от 27 января... :: СудАкт.ру,"№ 214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации», застройщик вправе расторгнуть договор не ранее чем через тридцать дней после направления в письменной форме участнику долевого строительства в порядке...",article8_acceptance
XgpeaG5M48Zl,https://sudact.ru/regular/doc/XgpeaG5M48Zl/,sudact.ru,Решение № 2-833/2020 2-833/2020~М-7394/2019... :: СудАкт.ру,"Пунктом 1 ст. 388 ГК РФ предусмотрено, что уступка требования кредитором (цедентом) другому лицу (цессионарию) допускается, если она не противоречит закону. В силу ч. 1 ст. 11 ФЗ № 214 уступка участником долевого строительства прав требований по договору допускается только после уплаты им цены договора или одновременно с переводом долга на нового участника долевого строительства в порядке, установленном Гражданским кодексом РФ.",article8_acceptance
NEhOHKaxcxZ6,https://sudact.ru/regular/doc/NEhOHKaxcxZ6/,sudact.ru,Решение № 2-1368/2023 2-1368/2023(2-8318/2022...) :: СудАкт.ру,"Поскольку недостатки квартиры ответчиком к этому моменту устранены не были, данное требование истцов является правомерным и соответствует положениями пп.3 п.2 ст.7 Федерального закона №214-ФЗ. В связи с изменением исковых требований по делу по ходатайству ответчика была назначена дополнительная судебная строительно-техническая экспертиза.",article8_acceptance
ZKB1oIPWhlmv,https://sudact.ru/regular/doc/ZKB1oIPWhlmv/,sudact.ru,Решение № 2-214/2020 2-214/2020~М-200/2020... :: СудАкт.ру,по делу № 2-214/2020 Решение от 7 мая 2020 г. по делу № 2-214/2020 Решение от 5 апреля 2020 г. по делу № 2-214/2020 Решение от 29 января 2020 г. по делу № 2-214/2020 Решение от 12 января 2020 г. по делу № 2-214/2020. Показать все документы по этому делу. Судебная практика по,article8_acceptance
yr7KTr1mSDmV,https://sudact.ru/regular/doc/yr7KTr1mSDmV/,sudact.ru,Решение № 2-214/2025 2-214/2025(2-4270/2024...) :: СудАкт.ру,Решение от 10 ноября 2025 г. по делу № 2-214/2025 Решение от 8 января 2026 г. по делу № 2-214/2025 Решение от 21 сентября 2025 г. по делу № 2-214/2025 Решение от 13 августа 2025 г. по делу № 2-214/2025 Решение от 22 января 2025 г. по делу № 2-214/2025.,article8_acceptance
czgQ9u1UWPHD,https://sudact.ru/regular/doc/czgQ9u1UWPHD/,sudact.ru,Решение № 2-4546/2017 от 13 декабря 2017 г. по делу... :: СудАкт.ру,"Руководствуясь приведенными нормами налогового права и статьями 214.1, 214.3, 214.4 НК РФ ООО «Компания БКС» (доп.офис Алтайский) представлены в Межрайонную ИФНС России № по <адрес> сведения о получении в 2011 году ФИО2 дохода на общую сумму 69 522 646 955,64 руб., налоговых вычетов в сумме 69 470 260 960,27 руб., данные о совокупном облагаемом доходе в.",article9_termination
6JNfOIcg8VrJ,https://sudact.ru/regular/doc/6JNfOIcg8VrJ/,sudact.ru,Решение № 2-1454/2024 2-1454/2024(2-6490/2023...) :: СудАкт.ру,"В соответствии с ч. 1 ст. 7 Федерального закона № 214-ФЗ застройщик обязан передать участнику долевого строительства объект долевого строительства, качество которого соответствует условиям договора, требованиям технических регламентов, проектной документации и градостроительных регламентов, а также иным обязательным требованиям.",article9_termination
2XgbuyLyjsZS,https://sudact.ru/regular/doc/2XgbuyLyjsZS/,sudact.ru,Решение № 2-1459/2017 2-1459/2017 ~ М-1713/2017... :: СудАкт.ру,Решение № 2-1459/2017 2-1459/2017 ~ М-1713/2017 М-1713/2017 от 14 августа 2017 г. по делу № 9-214/2017~М-675/2017. Лазаревский районный суд г. Сочи (Краснодарский край) - Гражданские и административные.,article9_termination
9PEsUj2tx5Lw,https://sudact.ru/regular/doc/9PEsUj2tx5Lw/,sudact.ru,Решение № 2-8035/2024 2-8035/2024~М-5139/2024... :: СудАкт.ру,Согласно с ч. 1 ст. 4 Федерального закона от 30.12.2004 г. №214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации» (далее – ФЗ от 30.12.2004 № 214) по договору участия в долевом строительстве (далее также - договор) одна сторона (застройщик) обязуется в предусмотренный договором срок своими.,article9_termination
hXJYppVEsNbO,https://sudact.ru/regular/doc/hXJYppVEsNbO/,sudact.ru,Решение № 2-1161/2020 2-1161/2020~М-5989/2019... :: СудАкт.ру,"Согласно положениям ч. 2 ст. 9 Федерального закона от 30.12.2004 № 214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации» (далее - Федеральный закон от 30.12.2004 № 214-ФЗ) застройщик в случае расторжения договора по основаниям, предусмотренным частью 1 настоящей статьи, в течение двадцати рабочих дней.",article9_termination
1GvqWVhBTnLT,https://sudact.ru/regular/doc/1GvqWVhBTnLT/,sudact.ru,Решение № 2-476/2020 от 28 июля 2020 г. по делу № 9-214/2019...,Судебные и нормативные акты РФ. Решение № 2-476/2020 от 28 июля 2020 г. по делу № 9-214/2019~М-1800/2019 Вынесен: Рудничный районный суд г. Прокопьевска (Кемеровская область). Судья: Полюцкая О.А.. | Решение № 2-476/2020 от 28 июля 2020 г. по делу № 9-214/2019~М-1800/2019. Рудничный районный суд г. Прокопьевска (Кемеровская область) - Гражданские и административные.,article9_termination
DwkheohPRHZv,https://sudact.ru/regular/doc/DwkheohPRHZv/,sudact.ru,Решение № 2-6919/2023 2-6919/2023~М-5485/2023... :: СудАкт.ру,"При этом, ч. 1.2 ст. 9 ФЗ № 214-Ф3 установлено, что в случае, если застройщик надлежащим образом исполняет свои обязательства перед участником долевого строительства и соответствует предусмотренным настоящим Законом требованиям к застройщику, участник долевого строительства не имеет права на односторонний отказ от исполнения договора во внесудебном порядке.",article9_termination
tqP0gCC47eLa,https://sudact.ru/regular/doc/tqP0gCC47eLa/,sudact.ru,Решение № 2-4463/2018 2-4463/2018~М-3516/2018... :: СудАкт.ру,Решение № 2-4463/2018 2-4463/2018~М-3516/2018 М-3516/2018 от 7 октября 2018 г. по делу № 9-214/2018~М-5987/2017. Красногвардейский районный суд (Город Санкт-Петербург) - Гражданские и административные.,article9_termination
K74QFxEvJFUB,https://sudact.ru/regular/doc/K74QFxEvJFUB/,sudact.ru,Решение № 2-169/2020 от 23 сентября 2020 г. по делу... :: СудАкт.ру,,article9_termination
FDDchXC04fYU,https://sudact.ru/regular/doc/FDDchXC04fYU/,sudact.ru,Решение № 2-214/2025 2-214/2025(2-5464/2024...) :: СудАкт.ру,№ 2-214/2025 (2-5464/2024). РЕШЕНИЕ. Именем Российской Федерации. | марта 2025 г. по делу № 2-214/2025 Решение от 23 февраля 2025 г. по делу № 2-214/2025 Решение от 18 февраля 2025 г. по делу № 2-214/2025 Решение от 23 января 2025 г. по делу № 2-214/2025. Показать все документы по этому делу. Печать документа.,article9_termination
0ugFEUWpmXV5,https://sudact.ru/regular/doc/0ugFEUWpmXV5/,sudact.ru,Решение № 2-4650/2023 2-4650/2023~М-2871/2023... :: СудАкт.ру,Согласно ч. 1 и 2 ст. 3 Федерального закона от ДД.ММ.ГГГГ № 214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации» (далее - Закон) застройщик вправе привлекать денежные средства участников долевого строительства для строительства многоквартирного дома.,article9_termination
HNKUqbx7vPJw,https://sudact.ru/regular/doc/HNKUqbx7vPJw/,sudact.ru,Решение № 2-243/2023 2-243/2023~М-214/2023... :: СудАкт.ру,Решение № 2-243/2023 2-243/2023~М-214/2023 М-214/2023 от 9 ноября 2023 г. по делу № 2-243/2023. Пугачевский районный суд (Саратовская область) - Гражданское.,article9_termination
IyrvrGVU6P14,https://sudact.ru/regular/doc/IyrvrGVU6P14/,sudact.ru,Решение № 2-2524/2020 от 2 июля 2020 г. по делу... :: СудАкт.ру,В соответствии с ч. 1 ст. 4 Федерального закона от ДД.ММ.ГГГГ № 214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации» (далее - Закон N 214-ФЗ) по договору участия в долевом строительстве одна сторона (застройщик) обязуется в предусмотренный договором срок своими силами и (или) с привлечением других.,article9_termination
gQJTDalrwsL4,https://sudact.ru/regular/doc/gQJTDalrwsL4/,sudact.ru,Решение № 2-214/2025 2-214/2025(2-2959/2024...) :: СудАкт.ру,Решение № 2-214/2025 2-214/2025(2-2959/2024;)~М-2663/2024 2-2959/2024 М-2663/2024 от 18 марта 2025 г. по делу № 2-214/2025. Ессентукский городской суд (Ставропольский край) - Гражданское. | Решение от 27 августа 2025 г. по делу № 2-214/2025 Решение от 1 июля 2025 г. по делу № 2-214/2025 Решение от 18 марта 2025 г. по делу № 2-214/2025 Решение от 13 января 2025 г. по делу № 2-214/2025.,delay_penalty_214
vCIIP5SwATby,https://sudact.ru/regular/doc/vCIIP5SwATby/,sudact.ru,Решение № 2-214/2017 2-214/2017(2-4863/2016...) :: СудАкт.ру,Решение № 2-214/2017 2-214/2017(2-4863/2016;)~М-4804/2016 2-4863/2016 М-4804/2016 от 5 марта 2017 г. по делу № 2-214/2017. Ленинский районный суд г. Иваново (Ивановская область) - Гражданское. | по делу № 2-214/2017 Решение от 24 января 2017 г. по делу № 2-214/2017. Показать все документы по этому делу.,delay_penalty_214
ZLpGEgO2P1rw,https://sudact.ru/regular/doc/ZLpGEgO2P1rw/,sudact.ru,Решение № 2-214/2023 2-2-214/2023 от 1 ноября 2023... :: СудАкт.ру,Дело № 2-2-214/2023 №. РЕШЕНИЕ. Именем Российской Федерации. | Решение от 1 ноября 2023 г. по делу № 2-214/2023 Решение от 27 июля 2023 г. по делу № 2-214/2023 Решение от 20 июля 2023 г. по делу № 2-214/2023 Решение от 15 мая 2023 г. по делу № 2-214/2023.,delay_penalty_214
uJ7eANaEGv1B,https://sudact.ru/regular/doc/uJ7eANaEGv1B/,sudact.ru,Решение № 2-214/2021 от 28 марта 2021 г. по делу... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 2-214/2021 от 28 марта 2021 г. по делу № 2-214/2021 Вынесен: Кабанский районный суд (Республика Бурятия). Судья: Герасименко В.С.. | дело № 2-214\2021. РЕШЕНИЕ.,delay_penalty_214
tA4I3C4izbUw,https://sudact.ru/regular/doc/tA4I3C4izbUw/,sudact.ru,Решение № 2-214/2019 2-214/2019(2-4647/2018...) :: СудАкт.ру,Решение № 2-214/2019 2-214/2019(2-4647/2018;)~М-3743/2018 2-4647/2018 М-3743/2018 от 8 января 2019 г. по делу № 2-214/2019. Советский районный суд г. Нижний Новгород (Нижегородская область) - Гражданские и административные. Дело № 2-214/2019. РЕШЕНИЕ. Именем Российской Федерации.,delay_penalty_214
BTfFhBO9bl5f,https://sudact.ru/regular/doc/BTfFhBO9bl5f/,sudact.ru,Решение № 2-214/2023 2-214/2023~М-151/2023... :: СудАкт.ру,Решение № 2-214/2023 2-214/2023~М-151/2023 М-151/2023 от 2 июня 2023 г. по делу № 2-214/2023. Ясненский районный суд (Оренбургская область) - Гражданское.,delay_penalty_214
h50ZsUwZfl6m,https://sudact.ru/regular/doc/h50ZsUwZfl6m/,sudact.ru,Решение № 2-214/2021 от 1 июля 2021 г. по делу... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 2-214/2021 от 1 июля 2021 г. по делу № 2-214/2021 Вынесен: Курагинский районный суд (Красноярский край). Судья: Рукосуева Е.В.. | № 2-214/2021. 77RS0007-01-2020-013924-36.,delay_penalty_214
XtWyf9pM66ZV,https://sudact.ru/regular/doc/XtWyf9pM66ZV/,sudact.ru,Решение № 2-214/2020 2-214/2020~М-177/2020... :: СудАкт.ру,Решение № 2-214/2020 2-214/2020~М-177/2020 М-177/2020 от 18 октября 2020 г. по делу № 2-214/2020. Новониколаевский районный суд (Волгоградская область) - Гражданские и административные. Дело № 2-214/2020. Решение. Именем Российской Федерации.,delay_penalty_214
J4ScEeOmR1rK,https://sudact.ru/regular/doc/J4ScEeOmR1rK/,sudact.ru,Решение № 2-214/2025 2-214/2025(2-4334/2024...) :: СудАкт.ру,Решение от 11 января 2026 г. по делу № 2-214/2025 Решение от 20 июня 2025 г. по делу № 2-214/2025 Решение от 10 июня 2025 г. по делу № 2-214/2025 Решение от 2 апреля 2025 г. по делу № 2-214/2025 Решение от 26 марта 2025 г. по делу № 2-214/2025 Решение от 4.,flat_defects_214
xfBBJLmJ9NoV,https://sudact.ru/regular/doc/xfBBJLmJ9NoV/,sudact.ru,Решение № 2-112/2020 2-112/2020(2-3913/2019...) :: СудАкт.ру,"Истец в судебное заседание не явилась, извещена надлежаще о месте и времени рассмотрения дела (л.д.214). Представитель истца ФИО1 в судебном заседании на удовлетворении уточненных исковых требований настаивала по основаниям, изложенным в исковом заявлении.",flat_defects_214
WHn796jskSgN,https://sudact.ru/regular/doc/WHn796jskSgN/,sudact.ru,Решение № 2-126/2025 2-126/2025(2-3653/2024...) :: СудАкт.ру,"Отношения, связанные с привлечением денежных средств граждан для долевого строительства многоквартирных домов и иных объектов недвижимости, урегулированы Федеральным законом от 30.12.2004 № 214-ФЗ «Об участии в долевом строительстве многоквартирных домов и иных объектов недвижимости и о внесении изменений в некоторые законодательные акты Российской Федерации» (далее Федеральный закон от 30.12.2004 № 214-ФЗ).",flat_defects_214
KPSCpAxfTIxn,https://sudact.ru/regular/doc/KPSCpAxfTIxn/,sudact.ru,Решение № 2-1661/2024 2-1661/2024~М-214/2024... :: СудАкт.ру,Решение № 2-1661/2024 2-1661/2024~М-214/2024 М-214/2024 от 13 февраля 2024 г. по делу № 2-1661/2024. Канавинский районный суд г. Нижний Новгород (Нижегородская область) - Гражданское.,flat_defects_214
TAGPJRiKnOQh,https://sudact.ru/regular/doc/TAGPJRiKnOQh/,sudact.ru,Решение № 2-214/2020 от 27 апреля 2020 г. по делу... :: СудАкт.ру,Судебные и нормативные акты РФ. Решение № 2-214/2020 от 27 апреля 2020 г. по делу № 2-214/2020 Вынесен: Тихвинский городской суд (Ленинградская область). Судья: Удюкова И.В.. | Решение № 2-214/2020 от 27 апреля 2020 г. по делу № 2-214/2020. Тихвинский городской суд (Ленинградская область) - Гражданские и административные.,flat_defects_214
zA2CdHcCVNVg,https://sudact.ru/regular/doc/zA2CdHcCVNVg/,sudact.ru,Решение № 2-214/2020 2-214/2020~М-149/2020... :: СудАкт.ру,Решение № 2-214/2020 2-214/2020~М-149/2020 М-149/2020 от 26 апреля 2020 г. по делу № 2-214/2020. Снежинский городской суд (Челябинская область) - Гражданские и административные. | по делу № 2-214/2020 Решение от 11 февраля 2020 г. по делу № 2-214/2020 Решение от 2 февраля 2020 г. по делу № 2-214/2020. Показать все документы по этому делу. Судебная практика по,flat_defects_214
8nxK2TG6bnNs,https://sudact.ru/regular/doc/8nxK2TG6bnNs/,sudact.ru,Решение № 2-214/2024 2-214/2024(2-5848/2023...) :: СудАкт.ру,Решение № 2-214/2024 2-214/2024(2-5848/2023;)~М-5436/2023 2-5848/2023 М-5436/2023 от 15 января 2024 г. по делу № 2-214/2024. Ленинский районный суд г. Омска (Омская область) - Гражданское. | № 2-214/2024. РЕШЕНИЕ. Именем Российской Федерации.,flat_defects_214
